# MTOV      MMAX
2.74294  3.4190544076701332
2.74245  3.4869002461520098
2.74223  3.283654485792571
2.74223  3.517227578822742
2.73831  3.42829658365563
2.73831  3.475315574283766
2.739  3.569914199468741
2.74401  3.4346812443772783
2.72346  3.374307380336645
2.72318  3.4153741019805826
2.7336  3.6858434343442736
2.73763  3.472304947341156
2.73799  3.3988960424090857
2.73835  3.654348514564249
2.74454  3.565105674948728
2.73541  3.246230078092059
2.70428  3.2572694392958015
2.70319  3.3517859997052626
2.70268  3.5559233811277444
2.70241  3.422634495356392
2.71219  3.404026074562785
2.69642  3.428293407147919
2.70551  3.460960230415537
2.7053  3.3812190451038724
2.71794  3.2986656396861505
2.72124  3.72756414449826
2.72143  3.4215191851039637
2.72107  3.388591193364083
2.72107  3.4726953975083443
2.7019  3.3951092562972756
2.753  3.5686527381609365
2.75112  3.649557167941886
2.68625  3.1635055973316346
2.68505  3.256834279839759
2.68469  3.4350370453613626
2.68657  3.25072643978921
2.71796  3.6261411286701652
2.71797  3.371312044804151
2.65298  3.313812999098929
2.65964  3.342556692826062
2.64493  3.2669998160985965
2.6276  3.45531867145752
2.67559  3.4998564802538423
2.74122  3.50924646585787
2.73743  3.38640286382264
2.74107  3.27416036959576
2.71374  3.419117920462703
2.68747  3.1760931106193544
2.68787  3.4971558949878947
2.68853  3.3646898477028464
2.68866  3.2946180328688106
2.68866  3.3699721015962085
2.69473  3.4328254267342593
2.715  3.451684594095209
2.73695  3.406439135594357
2.73822  3.7164924319364303
2.71872  3.372642751803534
2.71872  3.4196815063167514
2.72232  3.4280710044444374
2.7221  3.2348165182089557
2.72318  3.3669138103445992
2.71949  3.1622247154980316
2.72504  3.5240705181609746
2.70265  3.3228472273062377
2.74901  3.543655773214882
2.74734  3.3694853050124953
2.74733  3.4134094709223213
2.73532  3.4079157632462516
2.73532  3.317218359875233
2.73278  3.5766842152137146
2.71607  3.405524074048894
2.71642  3.640086067781041
2.66777  3.4650842316837105
2.66586  3.4268046322370935
2.66969  3.105041534038856
2.72832  3.4149767335885577
2.71532  3.533406703394531
2.71575  3.2836306381294538
2.69399  3.4520535316620546
2.71113  3.4562987812070136
2.69826  3.4340554175665594
2.70353  3.396905396750974
2.71167  3.5842686805621238
2.71158  3.341703813560486
2.71916  3.5872376037611757
2.72336  3.5210235749465073
2.71427  3.517562249902876
2.71426  3.3719349150234597
2.69555  3.3996889222450197
2.6996  3.3565414057536804
2.69918  3.2185693603000867
2.69918  3.347700679935849
2.69886  3.588996174496523
2.69892  3.4604622176034843
2.69892  3.2981626446145382
2.69873  3.3784157418438636
2.67095  3.231727538691556
2.68696  3.425315801474986
2.6871  3.3379297726365245
2.68498  3.231951659911231
2.68955  3.393324685415135
2.68941  3.4584288048696603
2.68645  3.282349418523562
2.69348  3.2384341575962243
2.73711  3.5181371184426533
2.72715  3.4753617390598253
2.7433  3.3726144715951483
2.74547  3.504801274202359
2.74493  3.3261096320799943
2.74493  3.408305066727288
2.75501  3.5035452073636035
2.75531  3.4280529120057435
2.7653  3.5274266314340004
2.7653  3.3941719743044496
2.76059  3.4953990180514154
2.73358  3.348922142090823
2.72782  3.4423949754814585
2.76634  3.431901779611905
2.76473  3.4381225116290404
2.71824  3.4309617150051572
2.72466  3.2668946257668976
2.72438  3.3687871730970653
2.72557  3.435922472323303
2.73798  3.4437079396820476
2.72966  3.357983433443704
2.72676  3.517408531357036
2.70298  3.2863773540349763
2.7052  3.343674047102074
2.70506  3.2835059706935303
2.70571  3.71193406963561
2.70316  3.2556623295208964
2.70712  3.4624564512974554
2.72084  3.4161623990035173
2.71434  3.46713665424562
2.71935  3.506280773642053
2.71539  3.46222783078889
2.7175  3.2372049360772728
2.75804  3.390583748515991
2.7546  3.4901522421242173
2.7543  3.4392871844044834
2.75329  3.599716713657709
2.75319  3.6650471674318887
2.75337  3.5337997748577754
2.75865  3.472309196895792
2.75687  3.4287536976622577
2.75687  3.557356573710425
2.7473  3.660372165808058
2.72547  3.267553501263673
2.72552  3.582637393741514
2.75371  3.5299546686936054
2.75206  3.3773946152714873
2.70927  3.378671032697268
2.71592  3.218335781610076
2.70235  3.7554087345639986
2.70617  3.338490881302454
2.70617  3.272649920339488
2.71094  3.2771257296371887
2.7067  3.37774439624077
2.70719  3.3325800698818555
2.68912  3.2918620544476096
2.68842  3.3694202636809907
2.68406  3.282153096071225
2.68451  3.540937330652265
2.68866  3.0879183891284465
2.69875  3.5067097715975453
2.67803  3.6560052362664135
2.71001  3.4546147908060854
2.70999  3.5340148413228576
2.71031  3.367211040038034
2.70361  3.2561953472465492
2.704  3.4596068301738603
2.74496  3.4895094625422254
2.74445  3.572454571955811
2.74425  3.650315147930243
2.73768  3.4340996138288857
2.73726  3.545027780618926
2.73785  3.4493549894941142
2.73785  3.3129029941789523
2.73869  3.4397762919790917
2.73795  3.397271829134619
2.73628  3.5268943839354647
2.7363  3.6249796266490497
2.73999  3.5492761445543044
2.70778  3.3814927825735976
2.71112  3.4427061485783494
2.71325  3.4313594481860736
2.63582  3.38066608461948
2.64  3.1564406239616356
2.62726  3.2737605040908493
2.64455  3.352652673795094
2.70178  3.3169573400048784
2.6537  3.3849292020402517
2.64682  3.2008142355753133
2.64949  3.5003817246219233
2.64949  3.128560924035531
2.67045  3.236059642782434
2.66976  3.3938061014969727
2.68487  3.5480555743332256
2.68399  3.358538484471331
2.68411  3.485185017732239
2.68398  3.3111038229488448
2.69523  3.3552721912429804
2.69581  3.334309632963404
2.69583  2.9974313157255237
2.69587  3.250418218149877
2.66724  3.412969765494096
2.67484  3.2438870615856072
2.67484  3.375704950698153
2.67507  3.5227430508926387
2.66651  3.4120332372440187
2.66264  3.491605375777283
2.6524  3.283544204272561
2.6445  3.165560068553045
2.6445  3.2546417848288836
2.64867  3.1801197868258577
2.6513  3.367033643808424
2.65093  3.2475454614251773
2.64246  3.3457520199535216
2.75035  3.313983457149963
2.75054  3.427751853300586
2.75067  3.4376591625249895
2.72937  3.543307620158875
2.72676  3.592497603684831
2.72797  3.4230786026035553
2.72797  3.523762274416758
2.72769  3.3663612503477025
2.69004  3.4242647832018687
2.69046  3.390022610633468
2.68965  3.4944178256509
2.68875  3.3825912400094227
2.70993  3.2981209996477867
2.69508  3.5560153975347215
2.72477  3.403081862900623
2.72477  3.366579008755807
2.73617  3.5929239794052754
2.70159  3.5498185563872897
2.64441  3.2186226805074667
2.64622  3.218292868105885
2.64444  3.2730489112436416
2.64436  3.2537119621356827
2.64239  3.244024676220812
2.64229  3.3014842572587613
2.67804  3.3564538878017833
2.67803  3.451136127440298
2.67842  3.2413143255515076
2.6782  3.3491903674069077
2.73055  3.5962599823246393
2.7308  3.5809140366994012
2.7021  3.2889559754840927
2.71537  3.3929725320498303
2.71613  3.198238610683177
2.70867  3.5224259114821983
2.70946  3.4401362772714967
2.70946  3.5611668446249403
2.71018  3.47140771875084
2.70963  3.493812674088878
