# nb        en       pr      r (km)    M          h        f
0.57511  675.808  271.177  13.4984  2.61343  0.561661  964.827
0.582687  688.343  280.197  13.4653  2.62045  0.571078  969.684
0.590331  701.108  289.408  13.4322  2.6269  0.580483  974.465
0.59804  714.105  298.814  13.3989  2.6328  0.589873  979.206
0.605817  727.338  308.417  13.3652  2.63818  0.599248  983.911
0.613661  740.812  318.219  13.3315  2.64304  0.608607  988.551
0.621572  754.529  328.222  13.2979  2.64743  0.617948  993.13
0.629551  768.493  338.428  13.2642  2.65135  0.627271  997.651
0.637598  782.707  348.841  13.2305  2.65482  0.636574  1002.12
0.645713  797.176  359.462  13.1966  2.65786  0.645858  1006.56
0.653897  811.904  370.293  13.1629  2.66049  0.65512  1010.93
0.662149  826.893  381.338  13.1289  2.66273  0.664361  1015.28
0.670471  842.148  392.598  13.0953  2.66459  0.67358  1019.55
0.678862  857.673  404.076  13.0613  2.66608  0.682776  1023.82
0.687323  873.471  415.775  13.0276  2.66724  0.691948  1028.01
0.695854  889.546  427.697  12.994  2.66806  0.701096  1032.17
0.704455  905.903  439.844  12.9606  2.66856  0.71022  1036.26
0.713127  922.544  452.219  12.9269  2.66876  0.719318  1040.35
0.721869  939.475  464.824  12.8936  2.66867  0.72839  1044.37
0.730683  956.699  477.663  12.8602  2.6683  0.737435  1048.37
0.739568  974.22  490.737  12.8271  2.66767  0.746454  1052.3
0.748525  992.043  504.048  12.794  2.66678  0.755446  1056.21
0.757554  1010.17  517.601  12.7613  2.66565  0.76441  1060.05
0.766656  1028.61  531.396  12.7285  2.66429  0.773346  1063.88
0.77583  1047.36  545.437  12.696  2.66271  0.782253  1067.65
0.785077  1066.43  559.726  12.6635  2.66092  0.791131  1071.4
0.794397  1085.82  574.266  12.6313  2.65892  0.799981  1075.1
0.80379  1105.53  589.06  12.5991  2.65674  0.8088  1078.77
0.813257  1125.58  604.109  12.5672  2.65437  0.81759  1082.4
0.822799  1145.96  619.416  12.5353  2.65183  0.82635  1086.02
0.832414  1166.69  634.985  12.504  2.64913  0.83508  1089.54
0.842104  1187.75  650.817  12.4727  2.64626  0.843778  1093.05
0.85187  1209.16  666.915  12.4414  2.64325  0.852446  1096.56
0.86171  1230.93  683.282  12.4107  2.6401  0.861082  1099.97
0.871626  1253.05  699.92  12.38  2.63681  0.869688  1103.38
0.881618  1275.54  716.832  12.3493  2.63339  0.878261  1106.78
0.891685  1298.39  734.021  12.3192  2.62985  0.886803  1110.1
0.901829  1321.61  751.488  12.289  2.62619  0.895312  1113.41
0.91205  1345.2  769.237  12.2592  2.62243  0.903789  1116.67
0.922348  1369.18  787.27  12.2297  2.61857  0.912234  1119.89
0.932723  1393.54  805.589  12.2004  2.6146  0.920647  1123.07
0.943175  1418.28  824.198  12.1712  2.61055  0.929026  1126.24
0.953705  1443.42  843.099  12.1425  2.60641  0.937373  1129.34
0.964313  1468.96  862.293  12.1139  2.60218  0.945686  1132.43
