# nb        en       pr      r (km)    M          h        f
0.704455  873.93  403.248  12.5714  2.59484  0.657924  1069.67
0.713127  889.722  414.682  12.5421  2.59656  0.666782  1073.76
0.721869  905.784  426.32  12.5129  2.59794  0.675611  1077.82
0.730683  922.121  438.166  12.4836  2.59899  0.684411  1081.82
0.739568  938.735  450.22  12.4544  2.59974  0.69318  1085.79
0.748525  955.631  462.485  12.4252  2.6002  0.701919  1089.72
0.757554  972.811  474.963  12.3959  2.60038  0.710627  1093.62
0.766656  990.281  487.655  12.3667  2.60028  0.719304  1097.48
0.77583  1008.04  500.563  12.3375  2.59993  0.727948  1101.31
0.785077  1026.1  513.69  12.3082  2.59934  0.736561  1105.11
0.794397  1044.46  527.037  12.2793  2.59851  0.745141  1108.84
0.80379  1063.12  540.605  12.2503  2.59745  0.753687  1112.55
0.813257  1082.09  554.398  12.2214  2.59618  0.762201  1116.23
0.822799  1101.37  568.416  12.1925  2.59471  0.770681  1119.89
0.832414  1120.97  582.662  12.1638  2.59305  0.779127  1123.49
0.842104  1140.89  597.138  12.1352  2.5912  0.78754  1127.06
0.85187  1161.13  611.844  12.1068  2.58917  0.795917  1130.58
0.86171  1181.69  626.784  12.0785  2.58697  0.804261  1134.08
0.871626  1202.59  641.959  12.0501  2.58462  0.812569  1137.57
0.881618  1223.82  657.372  12.0221  2.58211  0.820843  1141
0.891685  1245.39  673.022  11.9943  2.57946  0.829081  1144.38
0.901829  1267.31  688.914  11.9665  2.57667  0.837284  1147.74
0.91205  1289.57  705.048  11.9388  2.57375  0.845452  1151.09
0.922348  1312.18  721.427  11.9116  2.5707  0.853584  1154.35
0.932723  1335.15  738.051  11.8841  2.56754  0.861681  1157.64
0.943175  1358.48  754.924  11.8573  2.56426  0.869741  1160.84
0.953705  1382.17  772.047  11.8301  2.56088  0.877766  1164.07
0.964313  1406.22  789.421  11.8035  2.5574  0.885755  1167.21
